,0
Attribute 131,9
Attribute 130,9
Attribute 395,9
Attribute 128,9
Attribute 127,9
Attribute 144,9
Attribute 529,9
Attribute 125,9
Attribute 126,9
Attribute 531,9
Attribute 532,9
Attribute 533,9
Attribute 122,9
Attribute 123,9
Attribute 530,9
Attribute 132,9
Attribute 8,9
Attribute 260,9
Attribute 536,9
Attribute 257,9
Attribute 261,9
Attribute 538,9
Attribute 537,9
Attribute 539,9
Attribute 279,9
Attribute 264,9
Attribute 263,9
Attribute 267,9
Attribute 266,9
Attribute 265,9
Attribute 262,9
Attribute 534,9
Attribute 258,9
Attribute 535,9
Attribute 259,9
Attribute 401,9
Attribute 402,9
Attribute 400,9
Attribute 417,9
Attribute 399,9
Attribute 397,9
Attribute 398,9
Attribute 124,9
Attribute 406,8
Attribute 407,8
Attribute 408,8
Attribute 134,8
Attribute 133,8
Attribute 268,8
Attribute 269,8
Attribute 270,8
Attribute 540,8
Attribute 542,8
Attribute 541,8
Attribute 135,8
Attribute 339,7
Attribute 474,7
Attribute 337,7
Attribute 469,7
Attribute 273,7
Attribute 338,7
Attribute 333,7
Attribute 66,7
Attribute 197,7
Attribute 203,7
Attribute 202,7
Attribute 201,7
Attribute 64,7
Attribute 60,7
Attribute 475,7
Attribute 65,7
Attribute 411,7
Attribute 2,7
Attribute 138,7
Attribute 473,7
Attribute 374,6
Attribute 137,6
Attribute 1,6
Attribute 410,6
Attribute 371,6
Attribute 370,6
Attribute 369,6
Attribute 368,6
Attribute 365,6
Attribute 382,6
Attribute 381,6
Attribute 380,6
Attribute 516,6
Attribute 379,6
Attribute 376,6
Attribute 375,6
Attribute 514,6
Attribute 515,6
Attribute 513,6
Attribute 510,6
Attribute 502,6
Attribute 509,6
Attribute 508,6
Attribute 507,6
Attribute 506,6
Attribute 505,6
Attribute 504,6
Attribute 503,6
Attribute 209,6
Attribute 208,6
Attribute 207,6
Attribute 210,6
Attribute 199,6
Attribute 200,6
Attribute 99,6
Attribute 95,6
Attribute 236,6
Attribute 235,6
Attribute 234,6
Attribute 233,6
Attribute 232,6
Attribute 231,6
Attribute 230,6
Attribute 75,6
Attribute 72,6
Attribute 243,6
Attribute 244,6
Attribute 499,6
Attribute 100,6
Attribute 101,6
Attribute 70,6
Attribute 71,6
Attribute 241,6
Attribute 242,6
Attribute 227,6
Attribute 204,6
Attribute 109,6
Attribute 92,6
Attribute 205,6
Attribute 206,6
Attribute 373,6
Attribute 372,6
Attribute 342,6
Attribute 343,6
Attribute 345,6
Attribute 344,6
Attribute 69,6
Attribute 348,6
Attribute 98,6
Attribute 97,6
Attribute 96,6
Attribute 198,6
Attribute 471,6
Attribute 470,6
Attribute 334,6
Attribute 272,6
Attribute 238,6
Attribute 237,6
Attribute 341,6
Attribute 340,6
Attribute 336,6
Attribute 335,6
Attribute 63,6
Attribute 472,6
Attribute 478,6
Attribute 477,6
Attribute 476,6
Attribute 68,6
Attribute 67,6
Attribute 61,6
Attribute 62,6
Attribute 482,6
Attribute 479,6
Attribute 480,6
Attribute 481,6
Attribute 102,6
Attribute 106,6
Attribute 103,6
Attribute 108,6
Attribute 107,6
Attribute 409,5
Attribute 136,5
Attribute 271,5
Attribute 55,4
Attribute 57,4
Attribute 331,4
Attribute 330,4
Attribute 467,4
Attribute 464,4
Attribute 463,4
Attribute 192,4
Attribute 193,4
Attribute 196,4
Attribute 328,4
Attribute 56,4
Attribute 59,4
Attribute 58,4
Attribute 465,4
Attribute 466,4
Attribute 327,4
Attribute 468,4
Attribute 329,4
Attribute 332,4
Attribute 195,4
Attribute 194,4
Attribute 191,4
Attribute 54,4
Attribute 424,3
Attribute 425,3
Attribute 426,3
Attribute 423,3
Attribute 427,3
Attribute 428,3
Attribute 152,3
Attribute 285,3
Attribute 288,3
Attribute 289,3
Attribute 287,3
Attribute 286,3
Attribute 15,3
Attribute 290,3
Attribute 18,3
Attribute 153,3
Attribute 154,3
Attribute 155,3
Attribute 150,3
Attribute 151,3
Attribute 16,3
Attribute 14,3
Attribute 17,3
Attribute 19,3
Attribute 104,2
Attribute 105,2
Attribute 422,2
Attribute 299,2
Attribute 546,2
Attribute 298,2
Attribute 297,2
Attribute 296,2
Attribute 295,2
Attribute 302,2
Attribute 301,2
Attribute 300,2
Attribute 10,2
Attribute 432,2
Attribute 431,2
Attribute 13,2
Attribute 12,2
Attribute 11,2
Attribute 9,2
Attribute 543,2
Attribute 94,2
Attribute 240,2
Attribute 500,2
Attribute 501,2
Attribute 239,2
Attribute 303,2
Attribute 304,2
Attribute 305,2
Attribute 283,2
Attribute 280,2
Attribute 281,2
Attribute 282,2
Attribute 284,2
Attribute 544,2
Attribute 545,2
Attribute 93,2
Attribute 441,2
Attribute 440,2
Attribute 439,2
Attribute 438,2
Attribute 32,2
Attribute 31,2
Attribute 30,2
Attribute 228,2
Attribute 229,2
Attribute 367,2
Attribute 366,2
Attribute 378,2
Attribute 377,2
Attribute 166,2
Attribute 512,2
Attribute 511,2
Attribute 421,2
Attribute 22,2
Attribute 23,2
Attribute 24,2
Attribute 25,2
Attribute 26,2
Attribute 27,2
Attribute 28,2
Attribute 29,2
Attribute 160,2
Attribute 162,2
Attribute 163,2
Attribute 164,2
Attribute 161,2
Attribute 420,2
Attribute 419,2
Attribute 169,2
Attribute 170,2
Attribute 418,2
Attribute 168,2
Attribute 147,2
Attribute 146,2
Attribute 148,2
Attribute 167,2
Attribute 165,2
Attribute 145,2
Attribute 437,2
Attribute 149,2
Attribute 436,2
Attribute 435,2
Attribute 434,2
Attribute 433,2
Attribute 444,1
Attribute 443,1
Attribute 442,1
Attribute 458,1
Attribute 459,1
Attribute 460,1
Attribute 461,1
Attribute 455,1
Attribute 357,1
Attribute 454,1
Attribute 453,1
Attribute 452,1
Attribute 449,1
Attribute 448,1
Attribute 447,1
Attribute 446,1
Attribute 445,1
Attribute 587,1
Attribute 584,1
Attribute 37,1
Attribute 559,1
Attribute 560,1
Attribute 561,1
Attribute 562,1
Attribute 583,1
Attribute 589,1
Attribute 588,1
Attribute 585,1
Attribute 586,1
Attribute 590,1
Attribute 40,1
Attribute 457,1
Attribute 456,1
Attribute 310,1
Attribute 311,1
Attribute 312,1
Attribute 313,1
Attribute 316,1
Attribute 317,1
Attribute 462,1
Attribute 326,1
Attribute 318,1
Attribute 319,1
Attribute 325,1
Attribute 324,1
Attribute 323,1
Attribute 322,1
Attribute 321,1
Attribute 320,1
Attribute 182,1
Attribute 183,1
Attribute 185,1
Attribute 184,1
Attribute 186,1
Attribute 187,1
Attribute 306,1
Attribute 307,1
Attribute 308,1
Attribute 309,1
Attribute 219,1
Attribute 491,1
Attribute 52,1
Attribute 53,1
Attribute 33,1
Attribute 34,1
Attribute 35,1
Attribute 36,1
Attribute 84,1
Attribute 181,1
Attribute 180,1
Attribute 178,1
Attribute 177,1
Attribute 176,1
Attribute 175,1
Attribute 174,1
Attribute 173,1
Attribute 172,1
Attribute 171,1
Attribute 190,1
Attribute 189,1
Attribute 188,1
Attribute 47,1
Attribute 46,1
Attribute 45,1
Attribute 44,1
Attribute 51,1
Attribute 50,1
Attribute 49,1
Attribute 48,1
Attribute 43,1
Attribute 38,1
Attribute 39,1
Attribute 573,0
Attribute 571,0
Attribute 21,0
Attribute 572,0
Attribute 575,0
Attribute 394,0
Attribute 390,0
Attribute 391,0
Attribute 393,0
Attribute 430,0
Attribute 576,0
Attribute 577,0
Attribute 578,0
Attribute 574,0
Attribute 387,0
Attribute 362,0
Attribute 389,0
Attribute 388,0
Attribute 253,0
Attribute 360,0
Attribute 361,0
Attribute 224,0
Attribute 223,0
Attribute 256,0
Attribute 255,0
Attribute 494,0
Attribute 495,0
Attribute 496,0
Attribute 222,0
Attribute 250,0
Attribute 251,0
Attribute 292,0
Attribute 249,0
Attribute 252,0
Attribute 88,0
Attribute 89,0
Attribute 522,0
Attribute 157,0
Attribute 521,0
Attribute 87,0
Attribute 117,0
Attribute 115,0
Attribute 116,0
Attribute 114,0
Attribute 121,0
Attribute 527,0
Attribute 120,0
Attribute 118,0
Attribute 528,0
Attribute 524,0
Attribute 525,0
Attribute 523,0
timestamp,0
