column,dtype,missing_count,missing_pct,unique_count,is_constant,mean,std,min,max
Attribute 31,float64,2,0.13,842,False,0.1842,0.0329,0.0341,0.2851
Attribute 32,float64,2,0.13,1275,False,3.6732,0.5353,2.0698,4.8044
Attribute 33,float64,1,0.06,338,False,85.3375,2.0265,83.1829,105.6038
Attribute 34,float64,1,0.06,330,False,8.9603,1.3445,7.6032,23.3453
Attribute 35,float64,1,0.06,329,False,50.5826,1.1826,49.8348,59.7711
Attribute 36,float64,1,0.06,331,False,64.5558,2.5747,63.6774,94.2641
Attribute 37,float64,1,0.06,330,False,49.4174,1.1826,40.2289,50.1652
Attribute 38,float64,1,0.06,325,False,66.2213,0.3041,64.9193,67.9586
Attribute 39,float64,1,0.06,329,False,86.8366,0.4468,84.7327,88.4188
Attribute 40,float64,1,0.06,333,False,118.6796,1.8072,111.7128,133.3898
Attribute 41,float64,24,1.53,291,False,67.9049,24.0629,1.434,86.12
Attribute 42,float64,24,1.53,315,False,3.3531,2.3604,-0.0759,37.88
Attribute 43,float64,1,0.06,1,True,70.0,0.0,70.0,70.0
Attribute 44,float64,1,0.06,1523,False,355.5389,6.2347,342.7545,377.2973
Attribute 45,float64,1,0.06,1376,False,10.0312,0.175,9.464,11.053
Attribute 46,float64,1,0.06,1520,False,136.7431,7.8492,108.8464,176.3136
Attribute 47,float64,1,0.06,1562,False,733.6728,12.1703,699.8139,789.7523
Attribute 48,float64,1,0.06,1341,False,1.178,0.1896,0.4967,1.5111
Attribute 49,float64,1,0.06,1486,False,139.9722,4.5243,125.7982,163.2509
Attribute 50,float64,1,0.06,1,True,1.0,0.0,1.0,1.0
Attribute 51,float64,1,0.06,1520,False,632.2542,8.644,607.3927,667.7418
Attribute 52,float64,1,0.06,1562,False,157.421,60.9251,40.2614,258.5432
Attribute 53,float64,1,0.06,1,True,0.0,0.0,0.0,0.0
Attribute 54,float64,4,0.26,153,False,4.593,0.0549,3.706,4.764
Attribute 55,float64,4,0.26,169,False,4.8385,0.0596,3.932,5.011
Attribute 56,float64,4,0.26,107,False,2856.1721,25.7493,2801.0,2936.0
Attribute 57,float64,4,0.26,187,False,0.9288,0.0068,0.8755,0.9378
Attribute 58,float64,4,0.26,159,False,0.9492,0.0042,0.9319,0.9598
Attribute 59,float64,4,0.26,382,False,4.5933,0.0851,4.2199,4.8475
Attribute 60,float64,7,0.45,1500,False,2.9602,9.5322,-28.9882,168.1455
Attribute 61,float64,6,0.38,1498,False,355.1591,6.0279,324.7145,373.8664
Attribute 62,float64,6,0.38,1418,False,10.4231,0.2749,9.4611,11.7849
Attribute 63,float64,6,0.38,1518,False,116.5023,8.629,81.49,287.1509
Attribute 64,float64,7,0.45,1534,False,13.9899,7.1199,1.6591,188.0923
Attribute 65,float64,7,0.45,1496,False,20.5421,4.9775,6.4482,48.9882
Attribute 66,float64,7,0.45,1550,False,27.1318,7.1217,4.308,118.0836
Attribute 67,float64,6,0.38,1559,False,706.6685,11.6231,632.4226,770.6084
Attribute 68,float64,6,0.38,1306,False,16.7154,307.5023,0.4137,7272.8283
Attribute 69,float64,6,0.38,1479,False,147.4376,4.2401,87.0255,167.8309
Attribute 70,float64,6,0.38,1,True,1.0,0.0,1.0,1.0
Attribute 71,float64,6,0.38,1533,False,619.1017,9.5392,581.7773,722.6018
Attribute 72,float64,6,0.38,1557,False,104.329,31.6519,21.4332,238.4775
Attribute 73,float64,794,50.67,773,False,150.3616,18.3885,-59.4777,175.4132
Attribute 74,float64,794,50.67,770,False,468.0204,17.6299,456.0447,692.4256
Attribute 75,float64,6,0.38,2,False,0.0027,0.1062,0.0,4.1955
Attribute 76,float64,24,1.53,675,False,-0.0069,0.0223,-0.1049,0.2315
Attribute 77,float64,24,1.53,891,False,-0.0294,0.0332,-0.1862,0.0723
Attribute 78,float64,24,1.53,842,False,-0.007,0.0314,-0.1046,0.1331
Attribute 79,float64,24,1.53,995,False,-0.0136,0.0479,-0.3482,0.2492
Attribute 80,float64,24,1.53,691,False,0.0035,0.0231,-0.0568,0.1013
Attribute 81,float64,24,1.53,922,False,-0.0185,0.0492,-0.1437,0.1186
Attribute 82,float64,24,1.53,580,False,-0.0212,0.017,-0.0982,0.0584
Attribute 83,float64,24,1.53,888,False,0.0061,0.0361,-0.2129,0.1437
Attribute 84,float64,1,0.06,1506,False,7.4521,0.5163,5.8257,8.9904
Attribute 85,float64,12,0.77,180,False,0.1331,0.0051,0.1174,0.1505
Attribute 86,float64,1341,85.58,97,False,0.1128,0.0029,0.1053,0.1184
Attribute 87,float64,0,0.0,472,False,2.4019,0.0373,2.2425,2.5555
Attribute 88,float64,0,0.0,249,False,0.9824,0.0128,0.7749,0.9935
Attribute 89,float64,0,0.0,973,False,1807.815,53.5373,1627.4714,2105.1823
Attribute 90,float64,51,3.25,650,False,0.1887,0.0524,0.1113,1.4727
Attribute 91,float64,51,3.25,1513,False,8827.5369,396.3137,7397.31,10746.6
Attribute 92,float64,6,0.38,1191,False,0.0024,0.0877,-0.357,0.3627
Attribute 93,float64,2,0.13,180,False,0.0005,0.0032,-0.0126,0.0281
Attribute 94,float64,2,0.13,174,False,-0.0005,0.003,-0.0171,0.0133
Attribute 95,float64,6,0.38,22,False,-0.0,0.0002,-0.002,0.0011
Attribute 96,float64,6,0.38,14,False,0.0001,0.0001,-0.0009,0.0009
Attribute 97,float64,6,0.38,1333,False,0.0171,0.2196,-1.4803,2.5093
Attribute 98,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 99,float64,6,0.38,1420,False,-0.0181,0.4271,-5.2717,2.5698
Attribute 100,float64,6,0.38,272,False,0.0015,0.0627,-0.5283,0.8854
Attribute 101,float64,6,0.38,35,False,-0.0,0.0004,-0.003,0.0023
Attribute 102,float64,6,0.38,29,False,-0.0,0.0002,-0.0024,0.0017
Attribute 103,float64,6,0.38,1066,False,0.0011,0.063,-0.5353,0.2979
Attribute 104,float64,2,0.13,153,False,-0.0098,0.0031,-0.0329,0.0203
Attribute 105,float64,2,0.13,55,False,-0.0,0.0009,-0.0119,0.0071
Attribute 106,float64,6,0.38,177,False,-0.0005,0.0032,-0.0281,0.0127
Attribute 107,float64,6,0.38,180,False,0.0005,0.003,-0.0133,0.0172
Attribute 108,float64,6,0.38,1159,False,-0.0018,0.0875,-0.5226,0.4856
Attribute 109,float64,6,0.38,1183,False,-0.0108,0.0868,-0.3454,0.3938
Attribute 110,float64,1018,64.96,96,False,0.98,0.0087,0.7848,0.9842
Attribute 111,float64,1018,64.96,546,False,101.3183,1.8801,88.1938,106.9227
Attribute 112,float64,1018,64.96,545,False,231.8189,2.1053,213.0083,236.9546
Attribute 113,float64,715,45.63,249,False,0.4575,0.0489,0.0,0.4885
Attribute 114,float64,0,0.0,468,False,0.9454,0.0121,0.8534,0.9763
Attribute 115,float64,0,0.0,20,False,0.0001,0.0017,0.0,0.0414
Attribute 116,float64,0,0.0,1567,False,747.3838,48.9492,544.0254,924.5318
Attribute 117,float64,0,0.0,136,False,0.9871,0.0095,0.89,0.9924
Attribute 118,float64,0,0.0,1527,False,58.6259,6.4852,52.8068,311.7344
Attribute 119,float64,24,1.53,328,False,0.5984,0.0081,0.5274,0.6245
Attribute 120,float64,0,0.0,249,False,0.9708,0.0089,0.8411,0.9827
Attribute 121,float64,0,0.0,1269,False,6.3109,0.1243,5.1259,7.522
Attribute 122,float64,9,0.57,54,False,15.7964,0.0996,15.46,16.07
Attribute 123,float64,9,0.57,309,False,3.8984,0.9041,1.671,6.889
Attribute 124,float64,9,0.57,50,False,15.8297,0.1083,15.17,16.1
Attribute 125,float64,9,0.57,59,False,15.7947,0.1141,15.43,16.1
Attribute 126,float64,9,0.57,155,False,1.185,0.2806,0.3122,2.465
Attribute 127,float64,9,0.57,273,False,2.7507,0.2535,2.34,3.991
Attribute 128,float64,9,0.57,324,False,0.6485,0.1354,0.3161,1.175
Attribute 129,float64,9,0.57,268,False,3.1922,0.2642,0.0,3.895
Attribute 130,float64,9,0.57,93,False,-0.5542,1.2205,-3.779,2.458
Attribute 131,float64,9,0.57,310,False,0.745,0.0825,0.4199,0.8884
Attribute 132,float64,9,0.57,68,False,0.9978,0.0023,0.9936,1.019
Attribute 133,float64,8,0.51,306,False,2.3185,0.0532,2.1911,2.4723
Attribute 134,float64,8,0.51,336,False,1004.0431,6.5377,980.451,1020.9944
Attribute 135,float64,8,0.51,335,False,39.392,2.9905,33.3658,64.1287
Attribute 136,float64,5,0.32,134,False,117.9609,57.5446,58.0,994.0
Attribute 137,float64,6,0.38,1089,False,138.1947,53.9098,36.1,295.8
Attribute 138,float64,7,0.45,1059,False,122.6929,52.253,19.2,334.7
Attribute 139,float64,14,0.89,348,False,57.603,12.3454,19.8,141.7998
Attribute 140,float64,14,0.89,518,False,416.767,263.3006,0.0,1770.6909
Attribute 141,float64,14,0.89,498,False,26.0779,506.9221,0.0319,9998.8944
Attribute 142,float64,14,0.89,1,True,0.0,0.0,0.0,0.0
Attribute 143,float64,14,0.89,374,False,6.6416,3.5523,1.74,103.39
Attribute 144,float64,9,0.57,63,False,0.0042,0.0013,0.0,0.0121
Attribute 145,float64,2,0.13,961,False,0.12,0.0613,0.0324,0.6253
Attribute 146,float64,2,0.13,656,False,0.0636,0.0265,0.0214,0.2507
Attribute 147,float64,2,0.13,579,False,0.055,0.0218,0.0227,0.2479
Attribute 148,float64,2,0.13,294,False,0.0174,0.0271,0.0043,0.9783
Attribute 149,float64,2,0.13,1551,False,8.4713,18.7406,1.4208,742.9421
Attribute 150,float64,3,0.19,1,True,0.0,0.0,0.0,0.0
Attribute 151,float64,3,0.19,1443,False,6.8143,3.2418,1.337,22.318
Attribute 152,float64,3,0.19,1498,False,14.0474,31.0025,2.02,536.564
Attribute 153,float64,3,0.19,1394,False,1.1967,23.3641,0.1544,924.378
Attribute 154,float64,3,0.19,219,False,0.0119,0.0093,0.0036,0.2389
Attribute 155,float64,3,0.19,1551,False,7.698,5.2392,1.2438,191.5478
Attribute 156,float64,10,0.64,65,False,0.5072,1.1224,0.14,12.71
Attribute 157,float64,0,0.0,722,False,0.0581,0.0792,0.0111,2.2016
Attribute 158,float64,1429,91.19,128,False,0.0471,0.0395,0.0118,0.2876
Attribute 159,float64,1429,91.19,138,False,1039.6507,406.8488,234.0996,2505.2998
Attribute 160,float64,2,0.13,954,False,882.6805,983.043,0.0,7791.0
Attribute 161,float64,2,0.13,744,False,555.3463,574.8086,0.0,4170.0
Attribute 162,float64,2,0.13,1411,False,4066.8505,4239.2451,0.0,37943.0
Attribute 163,float64,2,0.13,1325,False,4797.1546,6553.5693,0.0,36871.0
Attribute 164,float64,2,0.13,260,False,0.1402,0.122,0.0,0.957
Attribute 165,float64,2,0.13,219,False,0.1279,0.2425,0.0,1.817
Attribute 166,float64,2,0.13,404,False,0.252,0.4073,0.0,3.286
Attribute 167,float64,2,0.13,62,False,2.7889,1.1198,0.8,21.1
Attribute 168,float64,2,0.13,31,False,1.2358,0.6328,0.3,16.3
Attribute 169,float64,2,0.13,207,False,0.1244,0.0476,0.033,0.725
Attribute 170,float64,2,0.13,652,False,0.4005,0.1979,0.046,1.143
Attribute 171,float64,1,0.06,331,False,0.6843,0.1575,0.2979,1.153
Attribute 172,float64,1,0.06,306,False,0.1201,0.0608,0.0089,0.494
Attribute 173,float64,1,0.06,307,False,0.3201,0.0712,0.1287,0.5484
Attribute 174,float64,1,0.06,319,False,0.5762,0.0957,0.2538,0.8643
Attribute 175,float64,1,0.06,308,False,0.3201,0.0712,0.1287,0.5484
Attribute 176,float64,1,0.06,327,False,0.778,0.1163,0.4616,1.172
Attribute 177,float64,1,0.06,319,False,0.2447,0.0749,0.0735,0.4411
Attribute 178,float64,1,0.06,250,False,0.3948,0.2829,0.047,1.858
Attribute 179,float64,24,1.53,1,True,0.0,0.0,0.0,0.0
Attribute 180,float64,1,0.06,1,True,0.0,0.0,0.0,0.0
Attribute 181,float64,1,0.06,890,False,19.0133,3.3116,9.4,48.67
Attribute 182,float64,1,0.06,687,False,0.5468,0.2244,0.093,3.573
Attribute 183,float64,1,0.06,905,False,10.7805,4.1641,3.17,55.0
Attribute 184,float64,1,0.06,1508,False,26.6612,6.8361,5.014,72.947
Attribute 185,float64,1,0.06,1054,False,0.1448,0.1102,0.0297,3.2283
Attribute 186,float64,1,0.06,739,False,7.3657,7.1887,1.94,267.91
Attribute 187,float64,1,0.06,1,True,0.0,0.0,0.0,0.0
Attribute 188,float64,1,0.06,1015,False,17.9363,8.6099,6.22,307.93
Attribute 189,float64,1,0.06,1550,False,43.2114,21.7119,6.613,191.83
Attribute 190,float64,1,0.06,1,True,0.0,0.0,0.0,0.0
Attribute 191,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 192,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 193,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 194,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 195,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 196,float64,4,0.26,206,False,0.2871,0.3952,0.08,4.838
Attribute 197,float64,7,0.45,867,False,8.6885,15.7209,1.75,396.11
Attribute 198,float64,6,0.38,898,False,20.0927,10.5522,9.22,252.87
Attribute 199,float64,6,0.38,773,False,0.5574,0.5377,0.09,10.017
Attribute 200,float64,6,0.38,920,False,11.5321,16.4456,2.77,390.12
Attribute 201,float64,7,0.45,1008,False,17.6002,8.6907,3.21,199.62
Attribute 202,float64,7,0.45,861,False,7.8394,5.1045,0.0,126.53
Attribute 203,float64,7,0.45,1470,False,10.1705,14.6229,0.0,490.561
Attribute 204,float64,6,0.38,1501,False,30.0731,17.4618,7.728,500.349
Attribute 205,float64,6,0.38,1210,False,32.2182,565.1012,0.0429,9998.4483
Attribute 206,float64,6,0.38,841,False,9.0501,11.5411,2.3,320.05
Attribute 207,float64,6,0.38,2,False,0.0013,0.0506,0.0,2.0
Attribute 208,float64,6,0.38,1046,False,20.3762,17.4976,4.01,457.65
Attribute 209,float64,6,0.38,1549,False,73.2643,28.0671,5.359,172.349
Attribute 210,float64,6,0.38,2,False,0.0296,1.1681,0.0,46.15
Attribute 211,float64,24,1.53,798,False,0.0889,0.0421,0.0319,0.5164
Attribute 212,float64,24,1.53,653,False,0.0568,0.025,0.0022,0.3227
Attribute 213,float64,24,1.53,681,False,0.0514,0.0316,0.0071,0.5941
Attribute 214,float64,24,1.53,810,False,0.0603,0.053,0.0037,1.2837
Attribute 215,float64,24,1.53,803,False,0.0833,0.0565,0.0193,0.7615
Attribute 216,float64,24,1.53,823,False,0.0811,0.0304,0.0059,0.3429
Attribute 217,float64,24,1.53,728,False,0.0835,0.0258,0.0097,0.2828
Attribute 218,float64,24,1.53,836,False,0.0716,0.0463,0.0079,0.6744
Attribute 219,float64,1,0.06,1539,False,3.7715,1.1704,1.034,8.8015
Attribute 220,float64,12,0.77,64,False,0.0033,0.0016,0.0007,0.0163
Attribute 221,float64,1341,85.58,69,False,0.0092,0.002,0.0057,0.024
Attribute 222,float64,0,0.0,408,False,0.0607,0.0233,0.02,0.2305
Attribute 223,float64,0,0.0,178,False,0.0088,0.0559,0.0003,0.9911
Attribute 224,float64,0,0.0,973,False,122.8466,55.156,32.2637,1768.8802
Attribute 225,float64,51,3.25,720,False,0.0594,0.0712,0.0093,1.4361
Attribute 226,float64,51,3.25,1472,False,1041.0566,433.1701,168.7998,3601.2998
Attribute 227,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 228,float64,2,0.13,329,False,0.0191,0.0108,0.0062,0.1541
Attribute 229,float64,2,0.13,292,False,0.0178,0.0107,0.0072,0.2133
Attribute 230,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 231,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 232,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 233,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 234,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 235,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 236,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 237,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 238,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 239,float64,2,0.13,93,False,0.0048,0.0017,0.0013,0.0244
Attribute 240,float64,2,0.13,80,False,0.0046,0.0014,0.0014,0.0236
Attribute 241,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 242,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 243,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 244,float64,6,0.38,1,True,0.0,0.0,0.0,0.0
Attribute 245,float64,1018,64.96,66,False,0.0058,0.0846,0.0003,1.9844
Attribute 246,float64,1018,64.96,539,False,1.7297,4.3356,0.2914,99.9022
Attribute 247,float64,1018,64.96,547,False,4.1487,10.0451,1.1022,237.1837
Attribute 248,float64,715,45.63,490,False,0.0534,0.0669,0.0,0.4914
Attribute 249,float64,0,0.0,426,False,0.0252,0.0492,0.003,0.9732
Attribute 250,float64,0,0.0,23,False,0.0011,0.0158,0.0,0.4138
Attribute 251,float64,0,0.0,1566,False,109.651,54.5973,21.0107,1119.7042
Attribute 252,float64,0,0.0,143,False,0.0043,0.0375,0.0003,0.9909
Attribute 253,float64,0,0.0,1533,False,4.6451,64.3548,0.7673,2549.9885
Attribute 254,float64,24,1.53,442,False,0.0332,0.0224,0.0094,0.4517
Attribute 255,float64,0,0.0,291,False,0.0139,0.0091,0.0017,0.0787
Attribute 256,float64,0,0.0,1317,False,0.4038,0.1203,0.1269,0.9255
Attribute 257,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 258,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 259,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 260,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 261,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 262,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 263,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 264,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 265,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 266,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 267,float64,9,0.57,1,True,0.0,0.0,0.0,0.0
Attribute 268,float64,8,0.51,291,False,0.0706,0.0296,0.0198,0.1578
Attribute 269,float64,8,0.51,333,False,19.5047,7.3444,6.098,40.855
Attribute 270,float64,8,0.51,330,False,3.7779,1.1523,1.3017,10.1529
Attribute 271,float64,5,0.32,599,False,29.2603,8.402,15.5471,158.526
Attribute 272,float64,6,0.38,1559,False,46.0566,17.8664,10.4015,132.6479
Attribute 273,float64,7,0.45,1557,False,41.2981,17.7375,6.9431,122.1174
Attribute 274,float64,14,0.89,518,False,20.1812,3.8305,8.6512,43.5737
Attribute 275,float64,14,0.89,518,False,136.2924,85.6078,0.0,659.1696
Attribute 276,float64,14,0.89,458,False,8.6932,168.9494,0.0111,3332.5964
Attribute 277,float64,14,0.89,1,True,0.0,0.0,0.0,0.0
Attribute 278,float64,14,0.89,512,False,2.2107,1.1964,0.5615,32.1709
Attribute 279,float64,9,0.57,22,False,0.0011,0.0003,0.0,0.0034
Attribute 280,float64,2,0.13,541,False,0.0411,0.0203,0.0107,0.1884
Attribute 281,float64,2,0.13,246,False,0.018,0.0065,0.0073,0.0755
Attribute 282,float64,2,0.13,227,False,0.0151,0.0055,0.0069,0.0597
Attribute 283,float64,2,0.13,114,False,0.0058,0.0086,0.0016,0.3083
Attribute 284,float64,2,0.13,1515,False,2.804,5.8643,0.505,232.8049
Attribute 285,float64,3,0.19,1,True,0.0,0.0,0.0,0.0
Attribute 286,float64,3,0.19,1527,False,2.1198,0.9629,0.4611,6.8698
Attribute 287,float64,3,0.19,1540,False,4.26,9.7638,0.728,207.0161
Attribute 288,float64,3,0.19,1076,False,0.3675,7.3863,0.0513,292.2274
Attribute 289,float64,3,0.19,87,False,0.0039,0.0029,0.0012,0.0749
Attribute 290,float64,3,0.19,1522,False,2.5786,1.617,0.396,59.5187
Attribute 291,float64,10,0.64,324,False,0.1234,0.271,0.0416,4.4203
Attribute 292,float64,0,0.0,354,False,0.0199,0.0255,0.0038,0.6915
Attribute 293,float64,1429,91.19,92,False,0.0145,0.0115,0.0041,0.0831
Attribute 294,float64,1429,91.19,138,False,335.5512,137.6925,82.3233,879.226
Attribute 295,float64,2,0.13,1562,False,401.8148,477.0501,0.0,3933.755
Attribute 296,float64,2,0.13,1561,False,252.9991,283.5307,0.0,2005.8744
Attribute 297,float64,2,0.13,1565,False,1879.2284,1975.1114,0.0,15559.9525
Attribute 298,float64,2,0.13,1559,False,2342.827,3226.9243,0.0,18520.4683
Attribute 299,float64,2,0.13,725,False,0.0638,0.0642,0.0,0.5264
Attribute 300,float64,2,0.13,626,False,0.0603,0.1308,0.0,1.0312
Attribute 301,float64,2,0.13,967,False,0.1184,0.2191,0.0,1.8123
Attribute 302,float64,2,0.13,1134,False,0.9101,0.332,0.31,5.711
Attribute 303,float64,2,0.13,569,False,0.4033,0.1975,0.1118,5.1549
Attribute 304,float64,2,0.13,509,False,0.0403,0.0145,0.0108,0.2258
Attribute 305,float64,2,0.13,1105,False,0.1321,0.0649,0.0138,0.3337
Attribute 306,float64,1,0.06,314,False,0.2649,0.0574,0.1171,0.475
Attribute 307,float64,1,0.06,262,False,0.0486,0.0254,0.0034,0.2246
Attribute 308,float64,1,0.06,286,False,0.1289,0.0275,0.0549,0.2112
Attribute 309,float64,1,0.06,293,False,0.2184,0.0336,0.0913,0.3239
Attribute 310,float64,1,0.06,290,False,0.1289,0.0275,0.0549,0.2112
Attribute 311,float64,1,0.06,310,False,0.3048,0.0435,0.1809,0.4438
Attribute 312,float64,1,0.06,276,False,0.0973,0.0288,0.0328,0.1784
Attribute 313,float64,1,0.06,307,False,0.1601,0.1173,0.0224,0.7549
Attribute 314,float64,24,1.53,1,True,0.0,0.0,0.0,0.0
Attribute 315,float64,24,1.53,1,True,0.0,0.0,0.0,0.0
Attribute 316,float64,1,0.06,1,True,0.0,0.0,0.0,0.0
Attribute 317,float64,1,0.06,1533,False,5.977,1.0186,2.7882,13.0958
Attribute 318,float64,1,0.06,1160,False,0.1726,0.0724,0.0283,1.0034
Attribute 319,float64,1,0.06,1535,False,3.1888,1.2159,0.9848,15.8934
Attribute 320,float64,1,0.06,1550,False,7.916,2.1791,1.6574,20.0455
Attribute 321,float64,1,0.06,550,False,0.0431,0.0319,0.0084,0.9474
Attribute 322,float64,1,0.06,1511,False,2.2637,2.117,0.6114,79.1515
Attribute 323,float64,1,0.06,1,True,0.0,0.0,0.0,0.0
Attribute 324,float64,1,0.06,1536,False,5.3934,2.5189,1.7101,89.1917
Attribute 325,float64,1,0.06,1560,False,13.3322,6.6158,2.2345,51.8678
Attribute 326,float64,1,0.06,1,True,0.0,0.0,0.0,0.0
Attribute 327,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 328,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 329,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 330,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 331,float64,4,0.26,1,True,0.0,0.0,0.0,0.0
Attribute 332,float64,4,0.26,313,False,0.0832,0.0634,0.0224,1.0959
Attribute 333,float64,7,0.45,1517,False,2.5935,5.6452,0.5373,174.8944
Attribute 334,float64,6,0.38,1527,False,6.2159,3.4034,2.8372,90.5159
Attribute 335,float64,6,0.38,1145,False,0.1684,0.1729,0.0282,3.4125
Attribute 336,float64,6,0.38,1526,False,3.4269,5.7816,0.7899,172.7119
Attribute 337,float64,7,0.45,1532,False,9.7364,7.5561,5.2151,214.8628
Attribute 338,float64,7,0.45,1517,False,2.3275,1.6994,0.0,38.8995
Attribute 339,float64,7,0.45,1520,False,3.0376,5.645,0.0,196.688
Attribute 340,float64,6,0.38,1543,False,9.329,6.0747,2.2001,197.4988
Attribute 341,float64,6,0.38,761,False,14.6735,261.7385,0.0131,5043.8789
Attribute 342,float64,6,0.38,1517,False,2.7321,3.6679,0.5741,97.7089
Attribute 343,float64,6,0.38,2,False,0.0003,0.0113,0.0,0.4472
Attribute 344,float64,6,0.38,1541,False,6.1985,5.3718,1.2565,156.336
Attribute 345,float64,6,0.38,1551,False,23.2171,8.8952,2.056,59.3241
Attribute 346,float64,794,50.67,767,False,7.9584,17.513,1.7694,257.0106
Attribute 347,float64,794,50.67,762,False,5.7702,17.0775,1.0177,187.7589
Attribute 348,float64,6,0.38,2,False,0.0089,0.3522,0.0,13.9147
Attribute 349,float64,24,1.53,357,False,0.0247,0.0119,0.0103,0.22
Attribute 350,float64,24,1.53,373,False,0.0253,0.0106,0.001,0.1339
Attribute 351,float64,24,1.53,435,False,0.0232,0.0143,0.0029,0.2914
Attribute 352,float64,24,1.53,499,False,0.0276,0.0246,0.002,0.6188
Attribute 353,float64,24,1.53,354,False,0.0234,0.0132,0.0056,0.1429
Attribute 354,float64,24,1.53,563,False,0.0403,0.0155,0.0026,0.1535
